"","Constituency","Candidate","election","total_stops","courtesy_call","rally","interaction","official_business"
"415","Okaikwei South","Nana Addo Dankwa Akuffo Addo",2016,4,1,3,0,0
"416","Okaikwei South","Nana Addo Dankwa Akuffo Addo",2020,2,0,0,1,1
"417","Okere","John Mahama",2020,1,0,1,0,0
"418","Okere","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"419","Old Tafo","John Mahama",2020,1,0,0,1,0
"420","Old Tafo","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"421","Prestea Huni Valley","John Mahama",2020,1,0,0,1,0
"422","Prestea Huni Valley","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"423","Prestea Huni Valley","Nana Addo Dankwa Akuffo Addo",2020,2,0,1,0,1
"424","Pru East","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"425","Pru West","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"426","Pusiga","John Mahama",2020,1,0,0,1,0
"427","Saboba","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"428","Salaga North","John Mahama",2020,1,0,0,1,0
"429","Salaga North","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"430","Salaga South","John Mahama",2020,1,0,0,1,0
"431","Salaga South","Nana Addo Dankwa Akuffo Addo",2016,2,1,1,0,0
"432","Savelugu","John Mahama",2020,1,0,0,1,0
"433","Savelugu","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"434","Sawla Tuna-Kalba","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"435","Sefwi Akontombra","John Mahama",2020,1,1,0,0,0
"436","Sefwi Akontombra","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"437","Sefwi Akontombra","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"438","Sefwi Wiawso","John Mahama",2020,1,0,0,1,0
"439","Sefwi Wiawso","Nana Addo Dankwa Akuffo Addo",2016,1,1,0,0,0
"440","Sefwi Wiawso","Nana Addo Dankwa Akuffo Addo",2020,3,0,0,0,3
"441","Sekondi","John Mahama",2016,2,0,1,0,1
"442","Sekondi","John Mahama",2020,3,0,0,3,0
"443","Sekondi","Nana Addo Dankwa Akuffo Addo",2016,3,0,3,0,0
"444","Sekondi","Nana Addo Dankwa Akuffo Addo",2020,3,0,1,2,0
"445","Sene East","John Mahama",2020,1,1,0,0,0
"446","Sene East","Nana Addo Dankwa Akuffo Addo",2020,2,2,0,0,0
"447","Sene West","John Mahama",2020,1,1,0,0,0
"448","Shai Osudoku","John Mahama",2020,1,0,0,1,0
"449","Shai Osudoku","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"450","Shai Osudoku","Nana Addo Dankwa Akuffo Addo",2020,2,2,0,0,0
"451","Shama","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"452","Shama","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"453","Sissala East","John Mahama",2020,1,0,0,1,0
"454","Sissala East","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"455","South Dayi","John Mahama",2020,1,0,0,1,0
"456","South Dayi","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"457","South Tongu","John Mahama",2020,2,1,0,0,1
"458","South Tongu","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"459","Suaman","John Mahama",2020,1,1,0,0,0
"460","Suaman","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"461","Suaman","Nana Addo Dankwa Akuffo Addo",2020,3,1,0,0,2
"462","Suame","John Mahama",2020,1,0,0,1,0
"463","Suame","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"464","Suame","Nana Addo Dankwa Akuffo Addo",2020,2,1,1,0,0
"465","Subin","John Mahama",2020,1,1,0,0,0
"466","Subin","Nana Addo Dankwa Akuffo Addo",2016,2,0,1,1,0
"467","Subin","Nana Addo Dankwa Akuffo Addo",2020,3,0,1,1,1
"468","Suhum","John Mahama",2020,1,1,0,0,0
"469","Suhum","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"470","Suhum","Nana Addo Dankwa Akuffo Addo",2020,2,0,1,0,1
"471","Sunyani East","John Mahama",2016,1,0,0,1,0
"472","Sunyani East","John Mahama",2020,2,0,0,2,0
"473","Sunyani East","Nana Addo Dankwa Akuffo Addo",2016,5,0,5,0,0
"474","Sunyani East","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"475","Sunyani West","Nana Addo Dankwa Akuffo Addo",2020,2,0,1,0,1
"476","Tain","John Mahama",2020,2,1,0,1,0
"477","Tain","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"478","Tain","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"479","Takoradi","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"480","Takoradi","Nana Addo Dankwa Akuffo Addo",2020,4,0,2,0,2
"481","Tamale Central","John Mahama",2016,1,0,1,0,0
"482","Tamale Central","John Mahama",2020,1,0,0,1,0
"483","Tamale Central","Nana Addo Dankwa Akuffo Addo",2016,4,0,2,2,0
"484","Tamale Central","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"485","Tamale North","John Mahama",2020,1,0,1,0,0
"486","Tamale South","John Mahama",2020,1,0,0,1,0
"487","Tano North","John Mahama",2020,1,1,0,0,0
"488","Tano North","Nana Addo Dankwa Akuffo Addo",2016,2,1,1,0,0
"489","Tano North","Nana Addo Dankwa Akuffo Addo",2020,1,1,0,0,0
"490","Tano South","John Mahama",2020,1,0,0,1,0
"491","Tano South","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"492","Tano South","Nana Addo Dankwa Akuffo Addo",2020,2,0,0,0,2
"493","Tarkwa Nsuaem","John Mahama",2020,1,0,0,1,0
"494","Tarkwa Nsuaem","Nana Addo Dankwa Akuffo Addo",2020,3,0,2,0,1
"495","Tarkwa Nsuaem Municipal","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"496","Techiman North","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"497","Techiman North","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"498","Techiman South","John Mahama",2020,3,2,0,1,0
"499","Techiman South","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"500","Techiman South","Nana Addo Dankwa Akuffo Addo",2020,4,0,1,1,2
"501","Tema Central","John Mahama",2020,1,0,0,1,0
"502","Tema Central","Nana Addo Dankwa Akuffo Addo",2016,3,0,2,1,0
"503","Tema Central","Nana Addo Dankwa Akuffo Addo",2020,2,0,0,0,2
"504","Tema East","John Mahama",2020,2,1,0,1,0
"505","Tema East","Nana Addo Dankwa Akuffo Addo",2016,3,0,2,1,0
"506","Tema East","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"507","Tema West","John Mahama",2020,1,0,0,1,0
